blur_restaurant_uuid,date,weekday,site_id,village,price,yyyy-mm
r3588c2,2021-11-03,3,高雄市鳳山區,忠義里,4068.0,2021-11
r3588c2,2021-11-04,4,高雄市鳳山區,忠義里,5364.0,2021-11
r3588c2,2021-11-05,5,高雄市鳳山區,忠義里,5817.0,2021-11
r3588c2,2021-11-06,6,高雄市鳳山區,忠義里,19865.0,2021-11
r3588c2,2021-11-07,7,高雄市鳳山區,忠義里,21534.0,2021-11
r3588c2,2021-11-09,2,高雄市鳳山區,忠義里,6614.0,2021-11
r3588c2,2021-11-10,3,高雄市鳳山區,忠義里,4667.0,2021-11
r3588c2,2021-11-11,4,高雄市鳳山區,忠義里,4878.0,2021-11
r3588c2,2021-11-12,5,高雄市鳳山區,忠義里,11960.0,2021-11
r3588c2,2021-11-13,6,高雄市鳳山區,忠義里,16591.0,2021-11
r3588c2,2021-11-14,7,高雄市鳳山區,忠義里,16470.0,2021-11
r3588c2,2021-11-16,2,高雄市鳳山區,忠義里,7551.0,2021-11
r3588c2,2021-11-17,3,高雄市鳳山區,忠義里,6128.0,2021-11
r3588c2,2021-11-18,4,高雄市鳳山區,忠義里,7402.0,2021-11
r3588c2,2021-11-19,5,高雄市鳳山區,忠義里,11136.0,2021-11
r3588c2,2021-11-20,6,高雄市鳳山區,忠義里,16908.0,2021-11
r3588c2,2021-11-21,7,高雄市鳳山區,忠義里,19954.0,2021-11
r3588c2,2021-11-23,2,高雄市鳳山區,忠義里,3903.0,2021-11
r3588c2,2021-11-24,3,高雄市鳳山區,忠義里,5604.0,2021-11
r3588c2,2021-11-25,4,高雄市鳳山區,忠義里,4165.0,2021-11
r3588c2,2021-11-26,5,高雄市鳳山區,忠義里,5423.0,2021-11
r3588c2,2021-11-27,6,高雄市鳳山區,忠義里,18273.0,2021-11
r3588c2,2021-11-28,7,高雄市鳳山區,忠義里,17191.0,2021-11
r3588c2,2021-11-30,2,高雄市鳳山區,忠義里,5351.0,2021-11
r3588c2,2021-12-01,3,高雄市鳳山區,忠義里,5746.0,2021-12
r3588c2,2021-12-02,4,高雄市鳳山區,忠義里,7273.0,2021-12
r3588c2,2021-12-03,5,高雄市鳳山區,忠義里,4878.0,2021-12
r3588c2,2021-12-04,6,高雄市鳳山區,忠義里,10158.0,2021-12
r3588c2,2021-12-05,7,高雄市鳳山區,忠義里,19414.0,2021-12
r3588c2,2021-12-10,5,高雄市鳳山區,忠義里,6485.0,2021-12
r3588c2,2021-12-11,6,高雄市鳳山區,忠義里,18223.0,2021-12
r3588c2,2021-12-12,7,高雄市鳳山區,忠義里,13989.0,2021-12
r3588c2,2021-12-14,2,高雄市鳳山區,忠義里,5541.0,2021-12
r3588c2,2021-12-15,3,高雄市鳳山區,忠義里,4506.0,2021-12
r3588c2,2021-12-16,4,高雄市鳳山區,忠義里,6028.0,2021-12
r3588c2,2021-12-17,5,高雄市鳳山區,忠義里,6045.0,2021-12
r3588c2,2021-12-18,6,高雄市鳳山區,忠義里,14554.0,2021-12
r3588c2,2021-12-19,7,高雄市鳳山區,忠義里,17752.0,2021-12
r3588c2,2021-12-21,2,高雄市鳳山區,忠義里,3083.0,2021-12
r3588c2,2021-12-22,3,高雄市鳳山區,忠義里,4651.0,2021-12
r3588c2,2021-12-23,4,高雄市鳳山區,忠義里,7623.0,2021-12
r3588c2,2021-12-24,5,高雄市鳳山區,忠義里,4601.0,2021-12
r3588c2,2021-12-26,7,高雄市鳳山區,忠義里,20750.0,2021-12
r3588c2,2021-12-28,2,高雄市鳳山區,忠義里,3653.0,2021-12
r3588c2,2021-12-29,3,高雄市鳳山區,忠義里,5636.0,2021-12
r3588c2,2021-12-30,4,高雄市鳳山區,忠義里,4633.0,2021-12
r3588c2,2021-12-31,5,高雄市鳳山區,忠義里,17558.0,2021-12
r3588c2,2022-01-01,6,高雄市鳳山區,忠義里,21999.0,2022-01
r3588c2,2022-01-02,7,高雄市鳳山區,忠義里,13656.0,2022-01
r3588c2,2022-01-04,2,高雄市鳳山區,忠義里,3543.0,2022-01
r3588c2,2022-01-05,3,高雄市鳳山區,忠義里,8298.0,2022-01
r3588c2,2022-01-06,4,高雄市鳳山區,忠義里,4689.0,2022-01
r3588c2,2022-01-07,5,高雄市鳳山區,忠義里,3355.0,2022-01
r3588c2,2022-01-08,6,高雄市鳳山區,忠義里,16593.0,2022-01
r3588c2,2022-01-09,7,高雄市鳳山區,忠義里,11548.0,2022-01
r3588c2,2022-01-11,2,高雄市鳳山區,忠義里,4639.0,2022-01
r3588c2,2022-01-12,3,高雄市鳳山區,忠義里,4450.0,2022-01
r3588c2,2022-01-13,4,高雄市鳳山區,忠義里,5819.0,2022-01
r3588c2,2022-01-14,5,高雄市鳳山區,忠義里,9136.0,2022-01
r3588c2,2022-01-15,6,高雄市鳳山區,忠義里,14878.0,2022-01
r3588c2,2022-01-16,7,高雄市鳳山區,忠義里,17664.0,2022-01
r3588c2,2022-01-18,2,高雄市鳳山區,忠義里,7555.0,2022-01
r3588c2,2022-01-19,3,高雄市鳳山區,忠義里,8758.0,2022-01
r3588c2,2022-01-20,4,高雄市鳳山區,忠義里,8677.0,2022-01
r3588c2,2022-01-21,5,高雄市鳳山區,忠義里,11355.0,2022-01
r3588c2,2022-01-22,6,高雄市鳳山區,忠義里,8948.0,2022-01
r3588c2,2022-01-23,7,高雄市鳳山區,忠義里,18903.0,2022-01
r3588c2,2022-01-25,2,高雄市鳳山區,忠義里,9936.0,2022-01
r3588c2,2022-01-26,3,高雄市鳳山區,忠義里,12188.0,2022-01
r3588c2,2022-01-27,4,高雄市鳳山區,忠義里,9672.0,2022-01
r3588c2,2022-01-28,5,高雄市鳳山區,忠義里,9663.0,2022-01
